municipio_6,ano,populacao,nome_municipio,qtd_internacoes_uti,qtd_internacoes_icsap_uti,soma_val_tot,soma_dias_perm,qtd_estabelecimentos_media,qtd_leitos_existentes_media,qtd_leitos_sus_media,siops_dotacao_atualizada,siops_despesa_empenhada,siops_despesa_liquidada,siops_despesa_paga
351500,2022,250691,Embu das Artes - SP,1325,215,12383684.43,20766,143.16666666666666,346.5,99.41666666666667,,,,
351510,2022,66970,Embu-Guaçu - SP,337,52,2444566.5,4652,41.833333333333336,19.333333333333332,16.0,,,,
351512,2022,3014,Emilianópolis - SP,16,5,141965.74,175,3.3,,,,,,
351515,2022,19566,Engenheiro Coelho - SP,118,16,1084294.44,1333,36.916666666666664,,,,,,
351518,2022,39816,Espírito Santo do Pinhal - SP,314,89,2446926.53,4109,172.41666666666666,440.75,353.3333333333333,,,,
351519,2022,4157,Espírito Santo do Turvo - SP,24,1,167502.14,197,5.0,,,,,,
351520,2022,9417,Estrela d'Oeste - SP,63,5,513957.60000000003,719,28.0,37.0,31.0,,,,
351530,2022,2703,Estrela do Norte - SP,8,1,46100.91,106,2.0,,,,,,
351535,2022,7924,Euclides da Cunha Paulista - SP,27,6,222759.62,326,14.0,,,,,,
351540,2022,16641,Fartura - SP,77,9,687874.97,906,37.25,20.0,12.0,,,,
351550,2022,71186,Fernandópolis - SP,556,68,5142472.0,6942,448.8333333333333,148.33333333333334,93.0,,,,
351560,2022,5942,Fernando Prestes - SP,37,4,266082.32,322,9.0,,,,,,
351565,2022,1656,Fernão - SP,17,2,98795.75,127,3.0,,,,,,
351570,2022,179198,Ferraz de Vasconcelos - SP,761,112,6118609.81,10707,62.083333333333336,262.0,233.5,,,,
351580,2022,1487,Flora Rica - SP,4,0,60894.72,56,3.0,,,,,,
351590,2022,2733,Floreal - SP,24,3,159816.67,188,3.0,,,,,,
351600,2022,12958,Flórida Paulista - SP,61,8,508001.49,664,18.0,47.0,30.0,,,,
351610,2022,3851,Florínea - SP,30,6,229541.42,350,6.0,,,,,,
351620,2022,352536,Franca - SP,2190,515,19513806.69,24220,445.1666666666667,675.0833333333334,469.3333333333333,,,,
351630,2022,165139,Francisco Morato - SP,810,153,6331741.33,12163,79.66666666666667,231.83333333333334,212.66666666666666,,,,
351640,2022,144849,Franco da Rocha - SP,643,122,4981124.71,10211,119.08333333333333,579.1666666666666,465.4166666666667,,,,
351650,2022,2763,Gabriel Monteiro - SP,20,1,106368.94,147,3.0,,,,,,
351660,2022,6380,Gália - SP,48,10,411867.59,551,11.0,45.0,27.0,,,,
351670,2022,42110,Garça - SP,537,168,3016451.66,5485,77.91666666666667,289.8333333333333,255.83333333333334,,,,
351680,2022,3252,Gastão Vidigal - SP,31,4,302195.24,320,2.0,,,,,,
351685,2022,4702,Gavião Peixoto - SP,30,3,225175.66,287,8.454545454545455,,,,,,
351690,2022,10312,General Salgado - SP,83,9,1006824.4,1055,21.0,28.0,19.0,,,,
351700,2022,10232,Getulina - SP,69,13,408775.13,646,19.0,38.0,36.0,,,,
351710,2022,4138,Glicério - SP,46,13,213404.55,324,3.0,,,,,,
351720,2022,11239,Guaiçara - SP,85,17,516331.46,781,14.0,,,,,,
351730,2022,5512,Guaimbê - SP,45,5,386552.10000000003,664,6.583333333333333,,,,,,
351740,2022,39279,Guaíra - SP,157,31,1399228.5,1680,87.5,77.66666666666667,53.0,,,,
351750,2022,21711,Guapiaçu - SP,215,50,2256852.29,2420,23.833333333333332,,,,,,
351760,2022,17071,Guapiara - SP,92,22,610844.11,889,20.0,29.77777777777778,28.666666666666668,,,,
351770,2022,18606,Guará - SP,126,29,817065.12,971,57.916666666666664,56.0,48.0,,,,
351780,2022,7441,Guaraçaí - SP,65,15,373429.92,534,13.0,23.0,15.0,,,,
351790,2022,10350,Guaraci - SP,63,12,517277.92,636,19.0,,,,,,
351800,2022,1968,Guarani d'Oeste - SP,10,0,61542.990000000005,80,3.5,,,,,,
351810,2022,6427,Guarantã - SP,31,4,331141.84,555,6.0,,,,,,
351820,2022,31043,Guararapes - SP,158,38,1599725.29,1612,70.33333333333333,75.66666666666667,48.0,,,,
351830,2022,31236,Guararema - SP,146,24,1038095.0,1791,31.75,31.5,29.5,,,,
351840,2022,118044,Guaratinguetá - SP,1487,446,9495204.22,16260,475.4166666666667,396.4166666666667,198.33333333333334,,,,
351850,2022,15013,Guareí - SP,57,16,344281.88,705,14.416666666666666,,,,,,
351860,2022,37498,Guariba - SP,151,20,1218047.98,1288,51.0,68.16666666666667,59.0,,,,
351870,2022,287634,Guarujá - SP,1927,468,15026888.15,27215,388.0833333333333,546.6666666666666,380.3333333333333,,,,
351880,2022,1291771,Guarulhos - SP,5328,1111,42274283.31,73811,852.9166666666666,2314.75,1680.8333333333333,,,,
351885,2022,7320,Guatapará - SP,49,9,428860.39,507,10.0,,,,,,
351890,2022,4246,Guzolândia - SP,22,10,192270.68,270,3.0,,,,,,
351900,2022,9125,Herculândia - SP,91,20,524456.19,919,16.0,58.0,58.0,,,,
351905,2022,15094,Holambra - SP,64,6,650229.3,888,29.5,,,,,,
351907,2022,236641,Hortolândia - SP,819,125,8175357.72,13218,196.0,143.0,105.16666666666667,,,,
351910,2022,10437,Iacanga - SP,76,14,479890.62,864,18.636363636363637,30.0,28.0,,,,
